Expected Salary,Experience,Education,Specialization,Position
60000,6,2,Statistics,Data Mining
16000,9,2,IT-Software,Data Mining
18000,3,2,Customer Service,Data Mining
20000,0,3,-,Data Mining
20000,4,3,Sales-Eng/Tech/IT,Data Mining
20000,8,2,IT-Network/Sys/DB Admin,Data Mining
25000,4,2,IT-Network/Sys/DB Admin,Data Mining
30000,3,2,-,Data Mining
30000,5,2,IT-Software,Data Mining
35000,6,2,IT-Software,Data Mining
40000,2,3,IT-Software,Data Mining
40000,5,2,-,Data Mining
40000,5,2,IT-Software,Data Mining
40000,9,2,Banking/Financial,Data Mining
50000,8,2,Other Engineering,Data Mining
50000,9,2,IT-Software,Data Mining
50000,11,2,IT-Network/Sys/DB Admin,Data Mining
60000,7,2,IT-Software,Data Mining
65000,9,2,Quality Control,Data Mining
70000,7,3,IT-Software,Data Mining
12000,0,2,-,Data Mining
13000,0,2,-,Data Mining
15000,0,2,Food/Beverage/Restaurant,Data Mining
15000,1,2,Banking/Financial,Data Mining
16000,0,2,-,Data Mining
20000,1,2,Marketing/Business Dev,Data Mining
20000,1,2,Banking/Financial,Data Mining
20000,2,2,IT-Network/Sys/DB Admin,Data Mining
20000,4,4,Electronics,Data Mining
25000,2,2,IT-Network/Sys/DB Admin,Data Mining
25000,4,3,Actuarial/Statistics,Data Mining
25000,4,2,IT-Hardware,Data Mining
25000,4,2,General/Cost Accounting,Data Mining
25000,8,2,Logistics/Supply Chain,Data Mining
25000,8,2,Logistics/Supply Chain,Data Mining
28000,4,2,Quality Control,Data Mining
28000,6,3,Actuarial/Statistics,Data Mining
30000,4,2,IT-Network/Sys/DB Admin,Data Mining
30000,6,2,Manufacturing,Data Mining
30000,9,2,Banking/Financial,Data Mining
30000,13,2,Customer Service,Data Mining
35000,1,2,IT-Software,Data Mining
35000,2,2,Banking/Financial,Data Mining
35000,3,2,Logistics/Supply Chain,Data Mining
35000,7,3,Customer Service,Data Mining
45000,10,2,IT-Software,Data Mining
50000,9,2,IT-Software,Data Mining
,2,2,IT-Software,Data Mining
,15,2,IT-Network/Sys/DB Admin,Data Mining
11000,0,3,Electronics,Data Mining
12000,0,2,-,Data Mining
14000,2,2,IT-Software,Data Mining
15000,0,2,IT-Network/Sys/DB Admin,Data Mining
15000,1,2,Quality Control,Data Mining
15000,1,2,Manufacturing,Data Mining
15000,2,2,IT-Hardware,Data Mining
16000,2,2,-,Data Mining
16000,3,2,Human Resources,Data Mining
16000,8,2,Electronics,Data Mining
18000,0,2,-,Data Mining
18000,3,2,Electronics,Data Mining
18000,6,2,IT-Network/Sys/DB Admin,Data Mining
20000,9,2,IT-Network/Sys/DB Admin,Data Mining
24000,7,2,Audit & Taxation,Data Mining
25000,3,2,Electronics,Data Mining
25000,3,2,Actuarial/Statistics,Data Mining
25000,3,2,IT-Software,Data Mining
25000,7,2,IT-Network/Sys/DB Admin,Data Mining
25000,9,2,IT-Software,Data Mining
30000,4,1,IT-Network/Sys/DB Admin,Data Mining
30000,6,2,Maintenance,Data Mining
30000,7,2,IT-Software,Data Mining
30000,11,2,Logistics/Supply Chain,Data Mining
90000,11,3,-,Data Mining
13000,0,2,Actuarial/Statistics,Data Scientist
15000,0,2,Finance/Investment,Data Scientist
16000,0,2,Customer Service,Data Scientist
16000,0,2,Actuarial/Statistics,Data Scientist
18000,0,2,-,Data Scientist
18000,0,2,Clerical/General Admin,Data Scientist
18000,1,2,Purchasing/Material Mgmt,Data Scientist
18000,11,2,-,Data Scientist
20000,0,2,General/Cost Accounting,Data Scientist
20000,1,2,Banking/Financial,Data Scientist
20000,11,2,Banking/Financial,Data Scientist
29000,4,2,IT-Network/Sys/DB Admin,Data Scientist
30000,5,2,Food/Beverage/Restaurant,Data Scientist
30000,7,2,Marketing/Business Dev,Data Scientist
,2,2,-,Data Scientist
16000,0,2,Science & Technology,Data Scientist
16000,0,2,Actuarial/Statistics,Data Scientist
18000,0,3,-,Data Scientist
20000,3,2,Actuarial/Statistics,Data Scientist
20000,4,4,Electronics,Data Scientist
20000,5,3,Actuarial/Statistics,Data Scientist
25000,2,2,Actuarial/Statistics,Data Scientist
25000,4,3,IT-Software,Data Scientist
25000,6,2,Sales-Retail/General,Data Scientist
30000,4,2,IT-Network/Sys/DB Admin,Data Scientist
30000,6,2,-,Data Scientist
30000,6,2,Actuarial/Statistics,Data Scientist
30000,11,2,IT-Software,Data Scientist
35000,7,2,IT-Software,Data Scientist
37000,3,2,IT-Software,Data Scientist
40000,2,4,Electronics,Data Scientist
40000,3,2,Actuarial/Statistics,Data Scientist
40000,8,3,-,Data Scientist
50000,4,3,IT-Software,Data Scientist
50000,4,2,IT-Software,Data Scientist
55000,3,2,IT-Software,Data Scientist
55000,10,3,-,Data Scientist
60000,4,2,IT-Software,Data Scientist
60000,8,2,IT-Software,Data Scientist
60000,10,2,IT-Network/Sys/DB Admin,Data Scientist
70000,5,2,IT-Software,Data Scientist
70000,20,2,IT-Software,Data Scientist
75000,5,2,Banking/Financial,Data Scientist
75000,7,3,Finance/Investment,Data Scientist
85000,9,2,-,Data Scientist
85000,9,2,IT-Software,Data Scientist
90000,6,2,IT-Software,Data Scientist
90000,8,2,Electronics,Data Scientist
100000,7,3,Actuarial/Statistics,Data Scientist
100000,9,2,IT-Software,Data Scientist
100000,11,2,Marketing/Business Dev,Data Scientist
130000,11,2,IT-Software,Data Scientist
